,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,77537000000.0,149664000000.0,165400000000.0,89435000000.0,
Repurchase Of Capital Stock,-86662000000.0,-88745000000.0,-74746000000.0,-61225000000.0,
Repayment Of Debt,-59898000000.0,-18105000000.0,-11448000000.0,-16713000000.0,
Issuance Of Debt,124432000000.0,20570000000.0,22790000000.0,9427000000.0,
Issuance Of Capital Stock,10000000.0,843000000.0,11000000.0,109000000.0,
Capital Expenditure,-85972000000.0,-32929000000.0,-34352000000.0,-53324000000.0,
Interest Paid Supplemental Data,,,5637000000.0,5066000000.0,4101000000.0
Income Tax Paid Supplemental Data,,,26476000000.0,21474000000.0,20898000000.0
End Cash Position,189268000000.0,286424000000.0,229510000000.0,227353000000.0,
Beginning Cash Position,286424000000.0,229510000000.0,227353000000.0,356469000000.0,
Effect Of Exchange Rate Changes,965000000.0,4389000000.0,3530000000.0,-8834000000.0,
Changes In Cash,-98121000000.0,52525000000.0,-1373000000.0,-120282000000.0,
Financing Cash Flow,-76215000000.0,-108244000000.0,-65619000000.0,-64449000000.0,
Cash Flow From Continuing Financing Activities,-76215000000.0,-108244000000.0,-65619000000.0,-64449000000.0,
Net Other Financing Charges,-25020000000.0,-4861000000.0,-2226000000.0,3953000000.0,
Cash Dividends Paid,-29077000000.0,-17946000000.0,0.0,0.0,
Net Common Stock Issuance,-86652000000.0,-87902000000.0,-74735000000.0,-61116000000.0,
Common Stock Payments,-86662000000.0,-88745000000.0,-74746000000.0,-61225000000.0,
Common Stock Issuance,10000000.0,843000000.0,11000000.0,109000000.0,
Net Issuance Payments Of Debt,64534000000.0,2465000000.0,11342000000.0,-7286000000.0,
Net Long Term Debt Issuance,64534000000.0,2465000000.0,11342000000.0,-7286000000.0,
Long Term Debt Payments,-59898000000.0,-18105000000.0,-11448000000.0,-16713000000.0,
Long Term Debt Issuance,124432000000.0,20570000000.0,22790000000.0,9427000000.0,
Investing Cash Flow,-185415000000.0,-21824000000.0,-135506000000.0,-198592000000.0,
Cash Flow From Continuing Investing Activities,-185415000000.0,-21824000000.0,-135506000000.0,-198592000000.0,
Net Other Investing Changes,264000000.0,79000000.0,-360000000.0,-456000000.0,
Dividends Received Cfi,,1265000000.0,1001000000.0,936000000.0,
Net Investment Purchase And Sale,-95109000000.0,14418000000.0,-96678000000.0,-132267000000.0,
Sale Of Investment,41609000000.0,94050000000.0,23020000000.0,14543000000.0,
Purchase Of Investment,-136718000000.0,-79632000000.0,-119698000000.0,-146810000000.0,
Net Business Purchase And Sale,-7026000000.0,-3765000000.0,-4760000000.0,-13481000000.0,
Sale Of Business,1873000000.0,1964000000.0,1001000000.0,15479000000.0,
Purchase Of Business,-8899000000.0,-5729000000.0,-5761000000.0,-13481000000.0,
Net Intangibles Purchase And Sale,0.0,-842000000.0,-22000000.0,-15000000.0,
Sale Of Intangibles,,,0.0,0.0,369000000.0
Purchase Of Intangibles,0.0,-842000000.0,-22000000.0,-15000000.0,
Net PPE Purchase And Sale,-83544000000.0,-31714000000.0,-33686000000.0,-53309000000.0,
Sale Of PPE,2428000000.0,373000000.0,644000000.0,0.0,
Purchase Of PPE,-85972000000.0,-32087000000.0,-34330000000.0,-53309000000.0,
Operating Cash Flow,163509000000.0,182593000000.0,199752000000.0,142759000000.0,
Cash Flow From Continuing Operating Activities,163509000000.0,182593000000.0,199752000000.0,142759000000.0,
Change In Working Capital,-23988000000.0,-13749000000.0,13482000000.0,-18150000000.0,
Change In Other Working Capital,-1239000000.0,1510000000.0,2932000000.0,4545000000.0,
Change In Payables And Accrued Expense,27841000000.0,22362000000.0,1945000000.0,9801000000.0,
Change In Accrued Expense,25873000000.0,27126000000.0,11159000000.0,13327000000.0,
Change In Payable,1968000000.0,-4764000000.0,-9214000000.0,-3526000000.0,
Change In Tax Payable,1968000000.0,-4764000000.0,-9214000000.0,-3526000000.0,
Change In Income Tax Payable,1968000000.0,-4764000000.0,-9214000000.0,-3526000000.0,
Change In Prepaid Assets,-50590000000.0,-37621000000.0,8605000000.0,-32496000000.0,
Other Non Cash Items,590000000.0,-708000000.0,-1011000000.0,1478000000.0,
Stock Based Compensation,13970000000.0,18546000000.0,30831000000.0,23971000000.0,
Provisionand Write Offof Assets,3016000000.0,3509000000.0,2802000000.0,1739000000.0,
Asset Impairment Charge,15606000000.0,34854000000.0,19985000000.0,34808000000.0,
Deferred Tax,374000000.0,-5263000000.0,-1717000000.0,-1369000000.0,
Deferred Income Tax,374000000.0,-5263000000.0,-1717000000.0,-1369000000.0,
Depreciation Amortization Depletion,42459000000.0,44504000000.0,46938000000.0,48065000000.0,
Depreciation And Amortization,42459000000.0,44504000000.0,46938000000.0,48065000000.0,
Amortization Cash Flow,13199000000.0,17864000000.0,19139000000.0,20257000000.0,
Amortization Of Intangibles,13199000000.0,17864000000.0,19139000000.0,20257000000.0,
Depreciation,29260000000.0,26640000000.0,27799000000.0,27808000000.0,
Operating Gains Losses,-14494000000.0,29568000000.0,22869000000.0,5138000000.0,
Earnings Losses From Equity Investments,-5966000000.0,7735000000.0,8063000000.0,-14344000000.0,
Gain Loss On Investment Securities,-29280000000.0,23480000000.0,14911000000.0,20481000000.0,
Gain Loss On Sale Of PPE,-784000000.0,-107000000.0,-163000000.0,132000000.0,
Gain Loss On Sale Of Business,21536000000.0,-1540000000.0,58000000.0,-1131000000.0,
Net Income From Continuing Operations,125976000000.0,71332000000.0,65573000000.0,47079000000.0,
