,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,9083100000.0,3247200000.0,7167500000.0,9905500000.0,
Repurchase Of Capital Stock,-500000000.0,-1000000000.0,-4639700000.0,-8560300000.0,
Repayment Of Debt,-25700000.0,-752800000.0,-516200000.0,-12100000.0,
Issuance Of Debt,22500000.0,997800000.0,495600000.0,0.0,
Issuance Of Capital Stock,124000000.0,99400000.0,81800000.0,49000000.0,
Capital Expenditure,-2083100000.0,-2196200000.0,-1319300000.0,-940300000.0,
Interest Paid Supplemental Data,160000000.0,137800000.0,82200000.0,83000000.0,
Income Tax Paid Supplemental Data,1098000000.0,2568300000.0,1734600000.0,1235000000.0,
End Cash Position,12735900000.0,7004700000.0,7268300000.0,6951800000.0,
Beginning Cash Position,7004700000.0,7268300000.0,6951800000.0,6049400000.0,
Effect Of Exchange Rate Changes,6400000.0,-13800000.0,-3100000.0,20300000.0,
Changes In Cash,5724800000.0,-249800000.0,319600000.0,882100000.0,
Financing Cash Flow,-2832100000.0,-3003900000.0,-7138300000.0,-9891700000.0,
Cash Flow From Continuing Financing Activities,-2832100000.0,-3003900000.0,-7138300000.0,-9891700000.0,
Cash Dividends Paid,-2452900000.0,-2348300000.0,-2559800000.0,-1368300000.0,
Common Stock Dividend Paid,-2452900000.0,-2348300000.0,-2559800000.0,-1368300000.0,
Net Common Stock Issuance,-376000000.0,-900600000.0,-4557900000.0,-8511300000.0,
Common Stock Payments,-500000000.0,-1000000000.0,-4639700000.0,-8560300000.0,
Common Stock Issuance,124000000.0,99400000.0,81800000.0,49000000.0,
Net Issuance Payments Of Debt,-3200000.0,245000000.0,-20600000.0,-12100000.0,
Net Long Term Debt Issuance,-3200000.0,245000000.0,-20600000.0,-12100000.0,
Long Term Debt Payments,-25700000.0,-752800000.0,-516200000.0,-12100000.0,
Long Term Debt Issuance,22500000.0,997800000.0,495600000.0,0.0,
Investing Cash Flow,-2609300000.0,-2689300000.0,-1028900000.0,-72000000.0,
Cash Flow From Continuing Investing Activities,-2609300000.0,-2689300000.0,-1028900000.0,-72000000.0,
Net Other Investing Changes,-526200000.0,-561500000.0,-240000000.0,-124400000.0,
Net Investment Purchase And Sale,0.0,102000000.0,530400000.0,663700000.0,
Sale Of Investment,305200000.0,125600000.0,864700000.0,1826400000.0,
Purchase Of Investment,-305200000.0,-23600000.0,-334300000.0,-1162700000.0,
Net Business Purchase And Sale,0.0,-33600000.0,0.0,329000000.0,
Sale Of Business,,0.0,0.0,329000000.0,0.0
Purchase Of Business,0.0,-33600000.0,0.0,0.0,
Net Intangibles Purchase And Sale,-15900000.0,-40600000.0,-37500000.0,-39600000.0,
Purchase Of Intangibles,-15900000.0,-40600000.0,-37500000.0,-39600000.0,
Net PPE Purchase And Sale,-2067200000.0,-2155600000.0,-1281800000.0,-900700000.0,
Purchase Of PPE,-2067200000.0,-2155600000.0,-1281800000.0,-900700000.0,
Operating Cash Flow,11166200000.0,5443400000.0,8486800000.0,10845800000.0,
Cash Flow From Continuing Operating Activities,11166200000.0,5443400000.0,8486800000.0,10845800000.0,
Change In Working Capital,2053300000.0,-3663600000.0,2441200000.0,4892400000.0,
Change In Other Working Capital,2561300000.0,-2504000000.0,6666300000.0,5744200000.0,
Change In Other Current Assets,-1299000000.0,-344300000.0,-864300000.0,-222200000.0,
Change In Payables And Accrued Expense,1753100000.0,-39700000.0,845900000.0,1066200000.0,
Change In Accrued Expense,625500000.0,222000000.0,439700000.0,347600000.0,
Change In Payable,1127600000.0,-261700000.0,406200000.0,718600000.0,
Change In Account Payable,1127600000.0,-261700000.0,406200000.0,718600000.0,
Change In Inventory,-1860900000.0,-1646900000.0,-2080900000.0,-483200000.0,
Change In Receivables,898800000.0,871300000.0,-2125800000.0,-1212600000.0,
Changes In Account Receivables,-139900000.0,959900000.0,-2338000000.0,-1754900000.0,
Stock Based Compensation,172600000.0,134800000.0,68900000.0,117500000.0,
Provisionand Write Offof Assets,554700000.0,485300000.0,278500000.0,180700000.0,
Asset Impairment Charge,35800000.0,37500000.0,39300000.0,-15900000.0,
Deferred Tax,-144800000.0,-133600000.0,-564200000.0,-419600000.0,
Deferred Income Tax,-144800000.0,-133600000.0,-564200000.0,-419600000.0,
Depreciation Amortization Depletion,918600000.0,739800000.0,583600000.0,471000000.0,
Depreciation And Amortization,918600000.0,739800000.0,583600000.0,471000000.0,
Operating Gains Losses,4400000.0,4200000.0,15300000.0,-263500000.0,
Earnings Losses From Equity Investments,4400000.0,4200000.0,15300000.0,-49800000.0,
Gain Loss On Sale Of Business,,0.0,0.0,-213700000.0,0.0
Net Income From Continuing Operations,7571600000.0,7839000000.0,5624200000.0,5883200000.0,
